work_year,experience_level,employment_type,job_title,salary,employee_residence,workplace_type,company_location,company_size,Job_Category
2024,Mid,Full Time,Machine Learning Engineer,62500,GB,In Person,GB,M,Machine Learning Engineer
2024,Mid,Full Time,Machine Learning Engineer,50000,GB,In Person,GB,M,Machine Learning Engineer
2024,Senior,Full Time,Data Analyst,234000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,146000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Engineer,125000,GB,In Person,GB,M,Data Engineer
2024,Senior,Full Time,Data Engineer,125000,GB,In Person,GB,M,Data Engineer
2024,Senior,Full Time,Data Scientist,65333,LT,In Person,LT,M,Data Scientist
2024,Senior,Full Time,Data Scientist,46666,LT,In Person,LT,M,Data Scientist
2024,Senior,Full Time,Data Engineer,105000,US,Remote,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,95000,US,Remote,US,M,Data Engineer
2024,Entry,Full Time,Data Analyst,60500,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,40300,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,160000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,95000,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Data Engineer,152500,US,In Person,US,M,Data Engineer
2024,Entry,Full Time,Data Engineer,138200,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Research Scientist,164300,US,In Person,US,M,Research Scientist
2024,Senior,Full Time,Research Scientist,104000,US,In Person,US,M,Research Scientist
2024,Senior,Full Time,Data Analyst,163700,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,109100,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Engineer,130000,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,100000,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Machine Learning Engineer,220000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,200000,US,In Person,US,M,Machine Learning Engineer
2024,Mid,Full Time,Data Engineer,115000,US,Remote,US,M,Data Engineer
2024,Mid,Full Time,Data Engineer,95000,US,Remote,US,M,Data Engineer
2024,Senior,Full Time,Analytics Engineer,230000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Analytics Engineer,170000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Analytics Engineer,250000,US,Remote,US,M,Data Analyst
2024,Senior,Full Time,Analytics Engineer,180700,US,Remote,US,M,Data Analyst
2024,Senior,Full Time,Analytics Engineer,136675,US,Remote,US,M,Data Analyst
2024,Senior,Full Time,Analytics Engineer,111648,US,Remote,US,M,Data Analyst
2024,Senior,Full Time,Data Engineer,81250,GB,In Person,GB,M,Data Engineer
2024,Senior,Full Time,Data Engineer,81250,GB,In Person,GB,M,Data Engineer
2024,Senior,Full Time,Machine Learning Engineer,254000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,200000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Data Scientist,161000,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,133200,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Data Engineer,106250,GB,In Person,GB,M,Data Engineer
2024,Mid,Full Time,Data Engineer,106250,GB,In Person,GB,M,Data Engineer
2024,Entry,Full Time,Research Engineer,160000,US,In Person,US,M,Data Engineer
2024,Entry,Full Time,Research Engineer,140000,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Machine Learning Engineer,223100,US,Remote,US,M,Machine Learning Engineer
2024,Mid,Full Time,Machine Learning Engineer,126400,US,Remote,US,M,Machine Learning Engineer
2024,Senior,Full Time,Analytics Engineer,190000,US,Remote,US,M,Data Analyst
2024,Senior,Full Time,Analytics Engineer,136000,US,Remote,US,M,Data Analyst
2024,Mid,Full Time,Data Strategist,134400,US,In Person,US,M,Other
2024,Mid,Full Time,Data Strategist,100000,US,In Person,US,M,Other
2024,Mid,Full Time,Data Engineer,246000,US,Remote,US,M,Data Engineer
2024,Mid,Full Time,Data Engineer,170000,US,Remote,US,M,Data Engineer
2024,Entry,Full Time,Research Analyst,198000,US,Remote,US,M,Data Analyst
2024,Entry,Full Time,Research Analyst,115000,US,Remote,US,M,Data Analyst
2024,Mid,Full Time,Data Scientist,150000,US,Remote,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,103000,US,Remote,US,M,Data Scientist
